[INFO][2014-04-15 13:27:35,984][rml.test.TestLog]log info
[WARN][2014-04-15 13:27:35,984][rml.test.TestLog]log warn
[ERROR][2014-04-15 13:27:35,984][rml.test.TestLog]log error
[INFO][2014-04-15 13:27:36,000][rml.test.TestSpring]info
[INFO][2014-04-15 16:22:24,140][rml.test.TestLog]log info
[WARN][2014-04-15 16:22:24,140][rml.test.TestLog]log warn
[ERROR][2014-04-15 16:22:24,140][rml.test.TestLog]log error
[INFO][2014-04-15 16:22:24,140][rml.test.TestSpring]info
[INFO][2014-04-15 16:28:11,578][rml.test.TestLog]log info
[WARN][2014-04-15 16:28:11,578][rml.test.TestLog]log warn
[ERROR][2014-04-15 16:28:11,578][rml.test.TestLog]log error
[INFO][2014-04-15 16:28:11,578][rml.test.TestSpring]info
[INFO][2014-04-15 17:10:54,421][rml.test.TestLog]log info
[WARN][2014-04-15 17:10:54,421][rml.test.TestLog]log warn
[ERROR][2014-04-15 17:10:54,421][rml.test.TestLog]log error
[INFO][2014-04-15 17:10:54,421][rml.test.TestSpring]info
[INFO][2014-04-15 17:29:29,046][rml.test.TestLog]log info
[WARN][2014-04-15 17:29:29,046][rml.test.TestLog]log warn
[ERROR][2014-04-15 17:29:29,046][rml.test.TestLog]log error
[INFO][2014-04-15 17:29:29,046][rml.test.TestSpring]info
[INFO][2014-04-15 18:23:15,671][rml.test.TestLog]log info
[WARN][2014-04-15 18:23:15,687][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:23:15,687][rml.test.TestLog]log error
[INFO][2014-04-15 18:23:15,687][rml.test.TestSpring]info
[INFO][2014-04-15 18:31:12,234][rml.test.TestLog]log info
[WARN][2014-04-15 18:31:12,234][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:31:12,234][rml.test.TestLog]log error
[INFO][2014-04-15 18:31:12,234][rml.test.TestSpring]info
[INFO][2014-04-15 18:34:23,546][rml.test.TestLog]log info
[WARN][2014-04-15 18:34:23,546][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:34:23,546][rml.test.TestLog]log error
[INFO][2014-04-15 18:34:23,562][rml.test.TestSpring]info
[INFO][2014-04-15 18:37:56,671][rml.test.TestLog]log info
[WARN][2014-04-15 18:37:56,671][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:37:56,671][rml.test.TestLog]log error
[INFO][2014-04-15 18:37:56,671][rml.test.TestSpring]info
[INFO][2014-04-15 18:45:05,906][rml.test.TestLog]log info
[WARN][2014-04-15 18:45:05,906][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:45:05,906][rml.test.TestLog]log error
[INFO][2014-04-15 18:45:05,906][rml.test.TestSpring]info
[INFO][2014-04-15 18:50:23,609][rml.test.TestLog]log info
[WARN][2014-04-15 18:50:23,609][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:50:23,609][rml.test.TestLog]log error
[INFO][2014-04-15 18:50:23,609][rml.test.TestSpring]info
[INFO][2014-04-15 18:56:31,031][rml.test.TestLog]log info
[WARN][2014-04-15 18:56:31,031][rml.test.TestLog]log warn
[ERROR][2014-04-15 18:56:31,031][rml.test.TestLog]log error
[INFO][2014-04-15 18:56:31,031][rml.test.TestSpring]info
[INFO][2014-04-15 19:01:25,484][rml.test.TestLog]log info
[WARN][2014-04-15 19:01:25,484][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:01:25,484][rml.test.TestLog]log error
[INFO][2014-04-15 19:01:25,500][rml.test.TestSpring]info
[INFO][2014-04-15 19:08:31,453][rml.test.TestLog]log info
[WARN][2014-04-15 19:08:31,453][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:08:31,453][rml.test.TestLog]log error
[INFO][2014-04-15 19:08:31,468][rml.test.TestSpring]info
[INFO][2014-04-15 19:16:38,531][rml.test.TestLog]log info
[WARN][2014-04-15 19:16:38,531][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:16:38,531][rml.test.TestLog]log error
[INFO][2014-04-15 19:16:38,531][rml.test.TestSpring]info
[INFO][2014-04-15 19:18:07,718][rml.test.TestLog]log info
[WARN][2014-04-15 19:18:07,718][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:18:07,718][rml.test.TestLog]log error
[INFO][2014-04-15 19:18:07,734][rml.test.TestSpring]info
[INFO][2014-04-15 19:22:28,703][rml.test.TestLog]log info
[WARN][2014-04-15 19:22:28,703][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:22:28,703][rml.test.TestLog]log error
[INFO][2014-04-15 19:22:28,703][rml.test.TestSpring]info
[INFO][2014-04-15 19:28:49,500][rml.test.TestLog]log info
[WARN][2014-04-15 19:28:49,500][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:28:49,500][rml.test.TestLog]log error
[INFO][2014-04-15 19:28:49,515][rml.test.TestSpring]info
[INFO][2014-04-15 19:35:43,765][rml.test.TestLog]log info
[WARN][2014-04-15 19:35:43,765][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:35:43,765][rml.test.TestLog]log error
[INFO][2014-04-15 19:35:43,765][rml.test.TestSpring]info
[INFO][2014-04-15 19:43:23,765][rml.test.TestLog]log info
[WARN][2014-04-15 19:43:23,765][rml.test.TestLog]log warn
[ERROR][2014-04-15 19:43:23,765][rml.test.TestLog]log error
[INFO][2014-04-15 19:43:23,765][rml.test.TestSpring]info
[INFO][2014-04-15 23:13:56,828][rml.test.TestLog]log info
[WARN][2014-04-15 23:13:56,828][rml.test.TestLog]log warn
[ERROR][2014-04-15 23:13:56,828][rml.test.TestLog]log error
[INFO][2014-04-15 23:13:56,843][rml.test.TestSpring]info
[INFO][2014-04-15 23:32:17,046][rml.test.TestLog]log info
[WARN][2014-04-15 23:32:17,046][rml.test.TestLog]log warn
[ERROR][2014-04-15 23:32:17,046][rml.test.TestLog]log error
[INFO][2014-04-15 23:32:17,062][rml.test.TestSpring]info
[INFO][2014-04-15 23:50:08,671][rml.test.TestLog]log info
[WARN][2014-04-15 23:50:08,687][rml.test.TestLog]log warn
[ERROR][2014-04-15 23:50:08,687][rml.test.TestLog]log error
[INFO][2014-04-15 23:50:08,687][rml.test.TestSpring]info
[INFO][2014-04-16 00:29:28,453][rml.test.TestLog]log info
[WARN][2014-04-16 00:29:28,453][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:29:28,453][rml.test.TestLog]log error
[INFO][2014-04-16 00:29:28,453][rml.test.TestSpring]info
[INFO][2014-04-16 00:33:03,937][rml.test.TestLog]log info
[WARN][2014-04-16 00:33:03,937][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:33:03,937][rml.test.TestLog]log error
[INFO][2014-04-16 00:33:03,953][rml.test.TestSpring]info
[INFO][2014-04-16 00:38:46,078][rml.test.TestLog]log info
[WARN][2014-04-16 00:38:46,078][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:38:46,078][rml.test.TestLog]log error
[INFO][2014-04-16 00:38:46,078][rml.test.TestSpring]info
[INFO][2014-04-16 00:42:01,250][rml.test.TestLog]log info
[WARN][2014-04-16 00:42:01,250][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:42:01,250][rml.test.TestLog]log error
[INFO][2014-04-16 00:42:01,250][rml.test.TestSpring]info
[INFO][2014-04-16 15:50:18,467][rml.test.TestLog]log info
[WARN][2014-04-16 15:50:18,467][rml.test.TestLog]log warn
[ERROR][2014-04-16 15:50:18,467][rml.test.TestLog]log error
[INFO][2014-04-16 15:50:18,467][rml.test.TestSpring]info
[INFO][2014-04-16 15:55:20,139][rml.test.TestLog]log info
